"","Coefficient","Exp(Coefficient)","Std. Error","p","Significance"
"(Intercept)","0.775","2.17","0.017","0","***"
"course_subject.1Chemistry","-0.188","0.829","0.021","0","***"
"course_subject.1English","-0.104","0.901","0.02","0","***"
"course_subject.1Estonian Language","-0.015","0.985","0.02","0.45"," "
"course_subject.1History","-0.027","0.973","0.021","0.206"," "
"course_subject.1Literature","0.027","1.028","0.021","0.186"," "
"course_subject.1Mathematics","-0.236","0.79","0.02","0","***"
"course_subject.1Physical Education","0.129","1.138","0.021","0","***"
"course_subject.1Physics","-0.212","0.809","0.021","0","***"
"course_subject.1Russian Language","-0.223","0.8","0.021","0","***"
"gender1","0.083","1.086","0.009","0","***"
"AT.Director","0.038","1.039","0.013","0.004","**"
"AT.Home","0.002","1.002","0","0","***"
"AT.No.Reason","0","1","0","0.014","*"
"AT.Other.Reason","0.001","1.001","0","0.089","."
"AT.Sick","0","1","0","0.728"," "
"institution_id523","-0.035","0.966","0.012","0.005","**"
"institution_id524","-0.008","0.992","0.011","0.455"," "
