"","","2.5 %","97.5 %","",""
"(Intercept)","0","0.7025","0.769","0","***"
"course_subject.1Biology","0","-0.2358","-0.1629","0","***"
"course_subject.1Chemistry","0","-0.3836","-0.3113","0","***"
"course_subject.1Computer Training","0","-0.1831","-0.0981","0","***"
"course_subject.1English","0","-0.2924","-0.2212","0","***"
"course_subject.1Estonian Language","0","-0.2437","-0.1723","0","***"
"course_subject.1Geography","0","-0.194","-0.1133","0","***"
"course_subject.1History","0","-0.2466","-0.1734","0","***"
"course_subject.1Human History","0","-0.2966","-0.1636","0","***"
"course_subject.1Human Studies","0","-0.3582","-0.2531","0","***"
"course_subject.1Informatics","0.0311","-0.1124","-0.0053","0.0311","*"
"course_subject.1Literature","0","-0.1991","-0.1268","0","***"
"course_subject.1Mathematics","0","-0.4019","-0.3302","0","***"
"course_subject.1Music","0.0407","-0.0811","-0.0018","0.0407","*"
"course_subject.1Physical Education","0.8318","-0.0404","0.0325","0.8318"," "
"course_subject.1Physics","0","-0.3423","-0.2692","0","***"
"course_subject.1Russian Language","0","-0.3874","-0.3144","0","***"
"course_subject.1Technology, Craft and Homework","0.0459","0.001","0.1065","0.0459","*"
"course_subject.1Work Instruction","5e-04","-0.127","-0.0352","5e-04","***"
"gender1","0","0.1132","0.1338","0","***"
"total_abs","6e-04","-1e-04","0","6e-04","***"
"institution_id523","0","0.2146","0.2398","0","***"
"institution_id524","0","0.0803","0.1086","0","***"
