"","Coefficient","Exp(Coefficient)","Std. Error","p","Significance"
"(Intercept)","2.095","8.125","0.285","0","***"
"factor(course_subject.1)Chemistry","-1.417","0.243","0.141","0","***"
"factor(course_subject.1)English","-0.822","0.44","0.137","0","***"
"factor(course_subject.1)Estonian Language","-0.116","0.891","0.143","0.418"," "
"factor(course_subject.1)History","-0.108","0.897","0.15","0.472"," "
"factor(course_subject.1)Literature","0.209","1.232","0.151","0.167"," "
"factor(course_subject.1)Mathematics","-1.737","0.176","0.138","0","***"
"factor(course_subject.1)Physical Education","1.72","5.583","0.194","0","***"
"factor(course_subject.1)Physics","-1.582","0.206","0.143","0","***"
"factor(course_subject.1)Russian Language","-1.657","0.191","0.142","0","***"
"gender1","0.842","2.321","0.368","0.022","*"
"total_abs","0","1","0","0.936"," "
