"","2.5 %","97.5 %"
"course_subject.1Biology",-2.0136,-1.6758
"course_subject.1Chemistry",-2.6205,-2.2826
"course_subject.1Computer Training",-1.8171,-1.434
"course_subject.1English",-2.2069,-1.8751
"course_subject.1Estonian Language",-1.9729,-1.6419
"course_subject.1Geography",-1.8416,-1.4717
"course_subject.1History",-1.9029,-1.5622
"course_subject.1Human History",-2.804,-2.3058
"course_subject.1Human Studies",-2.7964,-2.3163
"course_subject.1Informatics",-1.6094,-1.1376
"course_subject.1Literature",-1.7594,-1.4246
"course_subject.1Mathematics",-2.7224,-2.3875
"course_subject.1Music",-1.1523,-0.7904
"course_subject.1Physical Education",-0.3733,-0.0294
"course_subject.1Physics",-2.4385,-2.0986
"course_subject.1Russian Language",-2.6257,-2.286
"course_subject.1Technology, Craft and Homework",-0.5393,-0.0575
"course_subject.1Work Instruction",-0.2774,0.151
"gender1",0.5842,0.6762
"total_abs",-7e-04,-3e-04
